k1,k2,k3,k4,k5,k6,o1,o2,o3,o4,o5,o6,o7,o8,o9,o10,o11,o12,o13,o14,o15,o16,o17,o18,o19,o20,o21,o22,o23,o24,o25,o26,o27
0.2,0.2,0.2,0.4,0.6,0.8,0.00209796,185.71,21.1458,0.140056,20.3694,1.01394,0.41748,335814,4650.16,0.407481,4547.08,9.67921,-9.35878,0.802976,-0.0803419,6.19129,0.0776097,35073.5,256.402,33915.4,1662.91,26.4449,3946.01,195.983,20.4075,1.06708,189.907
0.2,0.2,0.2,0.4,0.6,1,0.00749796,185.722,21.1404,0.150856,20.3866,0.996735,0.437887,335836,4647.06,0.439577,4553.29,9.51464,-4.80932,2.34135,-0.0835092,5.10441,0.125066,35071.2,272.875,33938.9,1639.72,28.3337,3949.66,193.366,22.1628,1.13549,186.888
0.2,0.2,0.2,0.4,0.8,0.2,0.027298,185.724,21.1206,0.147456,20.3652,1.01814,1.21661,335855,4638.11,0.422298,4546.15,9.75122,32.6094,6.42704,-0.0958916,16.8104,0.303698,35036.4,268.314,33915.7,1671.85,26.7472,3934.07,197.077,21.4304,1.14266,190.338
0.2,0.2,0.2,0.4,0.8,0.4,0.014898,185.711,21.133,0.154656,20.3722,1.01114,0.790641,335793,4645.86,0.443735,4547.2,9.78082,-0.110334,2.76474,-0.0948175,7.79005,0.193592,35063.8,278.978,33917.9,1659.71,28.7663,3943.94,196.336,22.719,1.1773,189.796
0.2,0.2,0.2,0.4,0.8,0.6,0.057898,185.748,21.09,0.155656,20.3668,1.01654,4.51312,335939,4624.98,0.43933,4547.68,9.80989,80.0926,11.3444,-0.112965,24.216,0.58569,34995.4,284.368,33934.1,1660.12,28.7673,3926.9,196.553,23.1608,1.21161,189.545
0.2,0.2,0.2,0.4,0.8,0.8,0.023898,185.729,21.124,0.146856,20.3734,1.00994,2.8669,335866,4641.49,0.432801,4547.04,9.67551,29.6735,3.91342,-0.0918862,13.4611,0.303325,35039.4,266.439,33920.2,1664.59,27.3392,3938.96,195.533,21.3894,1.10685,189.932
0.2,0.2,0.2,0.4,0.8,1,0.025698,185.728,21.1222,0.153256,20.3764,1.00694,0.917327,335859,4641.48,0.458154,4548.12,9.68095,24.2846,4.89113,-0.0961932,10.993,0.310793,35042.7,277.635,33928.8,1652.69,28.0792,3941.03,195.929,22.7713,1.14022,189.389
0.2,0.2,0.2,0.4,1,0.2,0.022298,185.703,21.1256,0.156456,20.3588,1.02454,0.96948,335773,4640.81,0.483063,4541.91,10.0293,17.7845,5.19918,-0.101082,14.4914,0.279867,35045.6,284.1,33899.1,1682.48,29.0627,3934.55,198.942,22.7668,1.18508,192.321
0.2,0.2,0.2,0.4,1,0.4,0.018698,185.707,21.1292,0.160256,20.3694,1.01394,1.13231,335785,4644.76,0.483409,4547.2,9.8047,11.4605,3.14561,-0.0964657,8.81926,0.230559,35052.2,290.222,33914.1,1663.66,29.6095,3942.97,196.243,23.6258,1.21491,189.785
0.2,0.2,0.2,0.4,1,0.6,0.011898,185.71,21.136,0.158656,20.3778,1.00554,1.65636,335792,4649.19,0.466864,4549.01,9.52477,-2.55339,0.670061,-0.0929921,9.62982,0.139946,35065.1,284.134,33927.4,1652.12,29.8462,3943.2,195.285,23.6227,1.22311,189.019
0.2,0.2,0.2,0.4,1,0.8,0.028898,185.748,21.119,0.158456,20.399,0.984335,2.35746,335893,4641.44,0.451693,4557.88,9.10354,18.7179,4.19258,-0.107504,16.0214,0.341935,35053.3,288.121,33972.2,1619.17,29.8822,3942.1,189.791,23.0068,1.21146,184.797
0.2,0.2,0.2,0.4,1,1,0.026898,185.73,21.121,0.155256,20.38,1.00334,1.39964,335852,4640.05,0.46999,4550.01,9.5613,22.3546,5.36477,-0.0900631,10.422,0.292951,35046.6,290.68,33941.1,1640.87,28.4434,3943.03,194.517,22.6244,1.16307,188.505
0.2,0.2,0.2,0.6,0.2,0.2,0.137698,185.846,21.0102,0.0830564,20.3128,1.07054,5.31632,336216,4596.68,0.230076,4527.88,10.6523,193.637,25.0911,-0.0975983,41.3925,1.38419,34901.2,155.853,33851,1764.13,14.8746,3900.64,204.843,10.439,0.648274,199.024
