k1,k2,k3,k4,o1,o2,o3,o4,o5,o6
0.03,0.055,0.045,0.1,10252.13333,0,6.3,0,-271.5241379,0
0.03,0.055,0.045,0.3,10224.2,0,6.333333333,0,-76.79310345,0
0.03,0.055,0.05,0.03,10469.76667,0,5.766666667,0,-131.1597701,0
0.03,0.055,0.05,0.1,10353.16667,0,6.133333333,0,-161.954023,0
0.03,0.055,0.05,0.3,10435.06667,0,5.466666667,0,24.00229885,0
0.03,0.055,0.055,0.03,10470,0,5,0,-318.3793103,0
0.03,0.055,0.055,0.1,10592.53333,0,5.033333333,0,66.74022989,0
0.03,0.055,0.055,0.3,10609.06667,0,5.733333333,0,32.05287356,0
0.03,0.055,0.06,0.03,10618.33333,0,4.666666667,0,-109.8850575,0
0.03,0.055,0.06,0.1,10629.93333,0,4.4,0,-81.17931034,0
0.03,0.055,0.06,0.3,10635.06667,0,4.4,0,-20.40689655,0
0.03,0.06,0.03,0.03,9353.9,1.233333333,10.63333333,-2535.010345,-5395.003448,77.01954023
0.03,0.06,0.03,0.1,9219.233333,0.033333333,10.46666667,-27.04252874,-2414.250575,0.225287356
0.03,0.06,0.03,0.3,9288.733333,0,9.8,0,-1638.77931,0
0.03,0.06,0.035,0.03,9642.6,0,8.233333333,0,-531.0413793,0
0.03,0.06,0.035,0.1,9843.566667,0,6.9,0,-8.320689655,0
0.03,0.06,0.035,0.3,9848.1,0,7.133333333,0,-561.8758621,0
0.03,0.06,0.04,0.03,10085.13333,0,6.666666667,0,-407.9885057,0
0.03,0.06,0.04,0.1,10115.86667,0,5.833333333,0,-258.2298851,0
0.03,0.06,0.04,0.3,10186.76667,0,6.066666667,0,-209.8804598,0
0.03,0.06,0.045,0.03,10281.1,0,5.966666667,0,-0.065517241,0
0.03,0.06,0.045,0.1,10298.46667,0,5.9,0,-93.84827586,0
0.03,0.06,0.045,0.3,10296.2,0,5.5,0,-41.89655172,0
0.03,0.06,0.05,0.03,10502.03333,0,4.8,0,-93.57931034,0
0.03,0.06,0.05,0.1,10351.16667,0,5.3,0,-227.0517241,0
0.03,0.06,0.05,0.3,10407.6,0,5.366666667,0,-179.7793103,0
0.03,0.06,0.055,0.03,10624.7,0,4.733333333,0,-16.11724138,0
0.03,0.06,0.055,0.1,10558.2,0,4.966666667,0,-129.2344828,0
0.03,0.06,0.055,0.3,10594.13333,0,5.4,0,-155.6413793,0
0.03,0.06,0.06,0.03,10693.4,0,4.233333333,0,-119.0965517,0
0.03,0.06,0.06,0.1,10684.03333,0,5.033333333,0,-7.725287356,0
0.03,0.06,0.06,0.3,10688.53333,0,5.766666667,0,-66.73333333,0
0.035,0.02,0.03,0.03,737.7333333,2103.933333,257.0333333,40356.49885,9775.112644,2744.174713
0.035,0.02,0.03,0.1,782.8,1852.066667,389.8666667,43549.32414,5573.110345,3522.905747
0.035,0.02,0.03,0.3,1002.933333,1329.466667,630.9,49259.58391,14753.06207,6210.255172
0.035,0.02,0.035,0.03,1270.3,2164.566667,335.6,44762.44483,8480.262069,-526.2482759
0.035,0.02,0.035,0.1,1507.9,1971,475.1,37173.93103,5366.906897,-1253.758621
0.035,0.02,0.035,0.3,1908.366667,1423.8,726.2666667,50368.14483,32751.51954,5030.331034
0.035,0.02,0.04,0.03,3026.366667,1980.3,424.5,-720742.0793,-143542.5,53697.77586
0.035,0.02,0.04,0.1,3161.966667,1778.4,495.8,-877094.2621,-211280.9379,80440.97931
0.035,0.02,0.04,0.3,3056.866667,1314.666667,755.1,-411224.6667,-233796.4,58162.55172
0.035,0.02,0.045,0.03,4952.366667,1602.666667,381.4,-1979733.908,-437929.8759,179861.2069
0.035,0.02,0.045,0.1,4979.6,1433.3,452.9666667,-1447866.669,-447277.0828,183450.1483
0.035,0.02,0.045,0.3,5818.066667,756.1666667,474.5,-1748889.253,-1080832.931,300202.1207
0.035,0.02,0.05,0.03,8180.7,373.3333333,112.1333333,-1342957.517,-359411.5103,156712.8851
0.035,0.02,0.05,0.1,7991.966667,380.5,146.2,-1284266.466,-442120.2,169334.6207
0.035,0.02,0.05,0.3,8527.966667,160.2,104.5333333,-551509.0966,-301952.223,107209.6483
0.035,0.02,0.055,0.03,9295.233333,5.3,18.26666667,-8000.52069,-9783.547126,676.1241379
0.035,0.02,0.055,0.1,9260.133333,66.43333333,42.46666667,-205152.8184,-89885.4092,42186.37701
0.035,0.02,0.055,0.3,9326.933333,38.66666667,37.56666667,-143270.7471,-94541.65057,29031.98851
0.035,0.02,0.06,0.03,9768.533333,0,7.466666667,0,-211.7402299,0
0.035,0.02,0.06,0.1,9600.1,60.53333333,36.73333333,-263632.0207,-117723.0759,48529.04368
0.035,0.02,0.06,0.3,9786.7,0,9.233333333,0,-973.3413793,0
0.035,0.025,0.03,0.03,803.7,2069.866667,291.2,43627.54483,16025.16552,2539.027586
0.035,0.025,0.03,0.1,1019,1816.9,448.5,73212.72414,16083.37931,5343.741379
0.035,0.025,0.03,0.3,1364.1,1217.1,722.7,22707.33448,8437.237931,6731.031034
0.035,0.025,0.035,0.03,1915.5,2109.433333,390.7,-235002.431,4700.948276,10366.47931
0.035,0.025,0.035,0.1,1704.266667,1873.966667,542.5,34510.14713,11280.72414,-3769.362069
0.035,0.025,0.035,0.3,2058,1262.6,796.4,21394.51724,4405.931034,3170.544828
0.035,0.025,0.04,0.03,4153.866667,1549.3,352,-2457703.821,-528033.1034,182710
0.035,0.025,0.04,0.1,4027.133333,1558.666667,519.5666667,-1425969.471,-460975.7678,155297.3333
0.035,0.025,0.04,0.3,4698.566667,916.1,614.0666667,-1393369.266,-936000.7632,242223.0966
0.035,0.025,0.045,0.03,6487.833333,961.0666667,251.7666667,-2648049.644,-645123.1092,255772.7057
0.035,0.025,0.045,0.1,6293.966667,987.8,350.2333333,-2061259.731,-702221.1299,271202.2897
0.035,0.025,0.045,0.3,7658.166667,313.2333333,217.1666667,-1225758.247,-776530.0977,208939.546
0.035,0.025,0.05,0.03,8805,226.4333333,84.3,-700286.1724,-241001.6207,110968.969
0.035,0.025,0.05,0.1,9004.766667,131.8666667,63.4,-516555.9632,-198763.8345,78063.02069
0.035,0.025,0.05,0.3,9374.833333,0,11.1,0,-1930.258621,0
0.035,0.025,0.055,0.03,9626.366667,0.1,10.4,-106.1413793,-773.2206897,0.855172414
0.035,0.025,0.055,0.1,9749.266667,0,8.266666667,0,-438.2804598,0
0.035,0.025,0.055,0.3,9515.4,0.066666667,12.26666667,-96.85517241,-2702.041379,2.464367816
0.035,0.025,0.06,0.03,9968.966667,0,7.3,0,-596.6793103,0
0.035,0.025,0.06,0.1,9973.166667,0,7.833333333,0,-370.7298851,0
0.035,0.025,0.06,0.3,9980.966667,0,8.266666667,0,-468.4390805,0
0.035,0.03,0.03,0.03,1128.266667,2117.866667,331.2666667,54526.10575,12378.75402,1452.829885
0.035,0.03,0.03,0.1,1193.9,1784.5,527.1333333,59340.5,13987.97931,319.7586207
0.035,0.03,0.03,0.3,1716.2,1078.833333,780.5666667,77012.68966,23246.77931,15888.99425
0.035,0.03,0.035,0.03,1956.933333,2131.5,435.8333333,52370.55172,-6266.563218,-2957.431034
0.035,0.03,0.035,0.1,2612.633333,1776.333333,563.4333333,-364712.1494,-125114.3874,36168.50575
0.035,0.03,0.035,0.3,3922.166667,957.7666667,693.4333333,-1108712.546,-825430.5575,173276.6563
0.035,0.03,0.04,0.03,4908.833333,1456.666667,361.1666667,-2375311.333,-567627.1437,218780.4368
0.035,0.03,0.04,0.1,5804.233333,922.5333333,375.5333333,-2265370.715,-885393.1977,308425.6368
0.035,0.03,0.04,0.3,7015.233333,399.8,319.3666667,-1203465.952,-902596.3299,235871.1448
0.035,0.03,0.045,0.03,8077.066667,325.8333333,99.5,-1262271.816,-330825.5172,137679.8448
0.035,0.03,0.045,0.1,8516.333333,152.2333333,76.96666667,-635331.2874,-279375.6092,90860.31839
0.035,0.03,0.045,0.3,9006.933333,4.233333333,19.26666667,-6732.397701,-14802.11954,717.245977
0.035,0.03,0.05,0.03,9583.9,0,9.466666667,0,-1254.193103,0
0.035,0.03,0.05,0.1,9679.033333,0,8.8,0,-396.8551724,0
0.035,0.03,0.05,0.3,9510.933333,0,9.8,0,-2133.703448,0
0.035,0.03,0.055,0.03,9741.466667,0,8.933333333,0,-486.8298851,0
0.035,0.03,0.055,0.1,9767.366667,0,7.966666667,0,-662.0218391,0
0.035,0.03,0.055,0.3,9792.366667,0,8.3,0,-720.7689655,0
