param1,param2,param3,output1,output2
0.03,0.025,0.03,1464.0,1720.0
0.03,0.025,0.03,2999.0,1807.0
0.03,0.025,0.03,1775.0,1860.0
0.03,0.025,0.03,1161.0,1725.0
0.03,0.025,0.03,1761.0,1857.0
0.03,0.025,0.03,2079.0,1615.0
0.03,0.025,0.03,2535.0,1852.0
0.03,0.025,0.03,1411.0,1439.0
0.03,0.025,0.03,3499.0,1957.0
0.03,0.025,0.03,917.0,1741.0
0.03,0.025,0.03,3195.0,1925.0
0.03,0.025,0.03,1302.0,1786.0
0.03,0.025,0.03,1162.0,1655.0
0.03,0.025,0.03,2689.0,1807.0
0.03,0.025,0.03,731.0,1741.0
0.03,0.025,0.03,2850.0,1673.0
0.03,0.025,0.03,1110.0,1681.0
0.03,0.025,0.03,902.0,1464.0
0.03,0.025,0.03,858.0,1712.0
0.03,0.025,0.03,1141.0,1587.0
0.03,0.025,0.03,2998.0,1742.0
0.03,0.025,0.03,3389.0,1898.0
0.03,0.025,0.03,3254.0,1813.0
0.03,0.025,0.03,662.0,1818.0
0.03,0.025,0.03,267.0,1730.0
0.03,0.025,0.03,1213.0,1647.0
0.03,0.025,0.03,3789.0,1675.0
0.03,0.025,0.03,655.0,1920.0
0.03,0.025,0.03,1920.0,1707.0
0.03,0.025,0.03,3193.0,1861.0
0.03,0.025,0.035,7197.0,8.0
0.03,0.025,0.035,3031.0,1853.0
0.03,0.025,0.035,1972.0,1729.0
0.03,0.025,0.035,2553.0,1901.0
0.03,0.025,0.035,2341.0,1787.0
0.03,0.025,0.035,4333.0,1699.0
0.03,0.025,0.035,2446.0,1866.0
0.03,0.025,0.035,4011.0,1834.0
0.03,0.025,0.035,4277.0,1698.0
0.03,0.025,0.035,3330.0,1845.0
0.03,0.025,0.035,2960.0,1703.0
0.03,0.025,0.035,4077.0,1617.0
0.03,0.025,0.035,1423.0,1584.0
0.03,0.025,0.035,3243.0,1849.0
0.03,0.025,0.035,8721.0,0.0
0.03,0.025,0.035,1588.0,1806.0
0.03,0.025,0.035,3837.0,1953.0
0.03,0.025,0.035,1613.0,1830.0
0.03,0.025,0.035,1818.0,1731.0
0.03,0.025,0.035,1148.0,1816.0
0.03,0.025,0.035,4514.0,1735.0
0.03,0.025,0.035,2131.0,1766.0
0.03,0.025,0.035,7633.0,60.0
0.03,0.025,0.035,8192.0,3.0
0.03,0.025,0.035,3844.0,1740.0
0.03,0.025,0.035,3252.0,1663.0
0.03,0.025,0.035,1872.0,1733.0
0.03,0.025,0.035,2235.0,1602.0
0.03,0.025,0.035,2683.0,1645.0
0.03,0.025,0.035,3196.0,1827.0
0.03,0.025,0.04,7937.0,3.0
0.03,0.025,0.04,8933.0,0.0
0.03,0.025,0.04,8393.0,0.0
0.03,0.025,0.04,7788.0,1.0
0.03,0.025,0.04,9011.0,0.0
0.03,0.025,0.04,8208.0,0.0
0.03,0.025,0.04,3676.0,1600.0
0.03,0.025,0.04,4877.0,1685.0
0.03,0.025,0.04,8257.0,0.0
