CMDLINE /export/apps/opt/qiskit/0.34.2/envs/qiskit/bin/python3.10 spatial.py
MEM 19430.132812 1684769854.8580
MEM 19430.132812 1684769854.9590
MEM 19430.132812 1684769855.0600
MEM 19430.132812 1684769855.1611
MEM 19430.132812 1684769855.2655
MEM 19430.132812 1684769855.3661
MEM 19430.132812 1684769855.4670
MEM 19430.132812 1684769855.5680
MEM 19430.132812 1684769855.6690
MEM 19430.132812 1684769855.7700
MEM 19430.132812 1684769855.8930
MEM 19430.132812 1684769855.9940
MEM 19430.132812 1684769856.0950
MEM 19430.132812 1684769856.1960
MEM 19430.132812 1684769856.2970
MEM 19430.132812 1684769856.3980
MEM 19430.132812 1684769856.4990
MEM 19430.132812 1684769856.6000
MEM 19430.132812 1684769856.7010
MEM 19430.132812 1684769856.8014
