0.1,0.4,0.7,0.4,0.4,0.4,8.3734,46.4136,12.6784,128.554,1.1188,20.163,1401.74,64894,1661.99,208951,210.283,4179.34,-246.39,775.86,13687.3,-6.43965,1370.81,6099.52,13711.7,1582.51,9561.78,13771.9,148.253,2598.05,-103.472,21491.3,254.129
0.1,0.4,0.75,0.4,0.4,0.4,9.248,38.823,11.8038,136.799,0.899,20.3828,1538.1,53068.1,1454.1,225677,162.456,4290.48,-227.701,811.625,15163.7,-5.10357,1534.47,4962.06,12382,1232.21,8287.03,13556.9,117.542,2463.76,-82.6194,23181,222.473
0.1,0.4,0.8,0.4,0.4,0.4,9.9928,32.3208,11.059,143.879,0.7318,20.55,1667.57,42452,1280.54,239849,139.388,4377.47,-188.397,833.666,16413.7,-3.64206,1682.25,4015.92,11626.3,998.485,7101.74,13344.6,95.4233,2336.64,-61.2136,24672.8,190.513
0.1,0.4,0.85,0.4,0.4,0.4,10.6256,27.1542,10.4262,149.555,0.6084,20.6734,1776.18,33971.4,1141.36,251323,127.508,4442.69,-159.318,848.949,17510.5,-3.17145,1806.87,3307.21,11033.8,814.143,6144.11,13035.9,79.511,2227.46,-49.5603,25889.7,163.84
0.1,0.4,0.9,0.4,0.4,0.4,11.2424,22.5466,9.8094,154.68,0.509,20.7728,1897.79,26890.3,1019.94,261713,104.576,4500.56,-119.522,848.854,18567.1,-1.87236,1927.16,2678.69,10282.3,651.816,5243.27,12677.4,66.0768,2119.31,-29.9216,27014.4,146.374
0.1,0.4,0.95,0.4,0.4,0.4,11.8042,18.2744,9.2476,159.427,0.4214,20.8604,2005.35,20614.7,911.641,271562,87.699,4551.27,-86.2869,849.227,19467.2,-1.23034,2043.76,2126.36,9268.62,528.547,4379.47,12394,55.0397,2013.11,-20.937,28075.9,129.457
0.1,0.4,1,0.4,0.4,0.4,12.264,14.7678,8.7878,163.309,0.3378,20.944,2099.81,16019.4,823.684,280231,79.7572,4602.31,-58.575,845.974,20214.1,-0.480275,2141.75,1667.39,7861.72,414.885,3630.7,12159.9,44.6726,1924.73,-7.9249,28994.6,107.905
0.15,0.4,0.05,0.4,0.4,0.4,0.035,184.138,21.0168,0.0344,18.6616,2.6202,0.0481846,330649,4599.72,0.0472261,3943.68,73.9908,50.7185,7.83598,0.0177996,5.41293,0.989091,34477.6,57.1219,30789.8,4298.22,7.28328,3529.54,574.732,4.52995,0.92445,440.104
0.15,0.4,0.1,0.4,0.4,0.4,0.044,181.428,21.0078,0.1386,16.0476,5.2342,0.0664773,321842,4595.81,5.49249,3156.22,292.241,64.2344,9.78401,0.183338,5.9683,2.48599,33863.5,195.04,26116.3,8459.41,34.1399,2953.43,1148.79,8.20884,8.77369,724.711
0.15,0.4,0.15,0.4,0.4,0.4,0.0524,178.103,20.9994,0.8434,13.4184,7.8634,0.0920727,311916,4591.89,206.407,2467.78,650.196,74.0378,11.7292,1.58692,5.74943,4.32402,33070.9,895.824,21602,12383.5,247.574,2383.69,1716.91,5.21536,80.4227,889.952
0.15,0.4,0.2,0.4,0.4,0.4,0.1066,172.486,20.9452,4.079,10.9834,10.2984,6.65137,297062,4559.03,2319.2,1918.47,1096.79,60.3566,24.8824,51.3781,3.98317,11.3137,31603.9,3368.98,17425.3,15713.8,1188.67,1875.96,2219.41,-24.7662,464.112,941.309
0.15,0.4,0.25,0.4,0.4,0.4,0.2732,163.19,20.7786,11.4004,8.8416,12.4402,25.7141,275302,4468.81,9580.02,1501.54,1580.47,50.305,60.46,252.449,2.1249,31.2792,29141.4,7464.42,13930,17865.8,3083.85,1446.83,2630.44,-75.3076,1425.73,907.935
0.15,0.4,0.3,0.4,0.4,0.4,0.7252,151.185,20.3266,22.1462,7.1306,14.1512,105.973,249779,4241.37,22860.6,1181.19,2033.91,-18.4467,134.053,942.635,-1.38639,91.0176,26149.2,11487.1,11140.6,18836.2,5277.47,1119.42,2901.62,-129.822,2968.52,841.389
0.15,0.4,0.35,0.4,0.4,0.4,1.3888,136.553,19.663,35.9682,5.657,15.6248,222.215,220997,3930.03,42585.1,921.938,2473.07,-90.5667,231.602,1939.83,-4.15587,192.993,22742.9,14656.4,8827.6,18842.2,7703.37,852.995,3068.84,-175.344,5071.06,751.436
