k1,k2,k3,k4,k5,k6,o1,o2,o3,o4,o5,o6
0.2,0.2,0.2,0.8,0.6,0.6,0.004,35.3686,3.8656,0.0534,2.828,1.285
0.2,0.2,0.2,0.8,0.6,0.8,0.004,35.7302,3.8656,0.0178,3.154,0.959
0.2,0.2,0.2,0.8,0.6,1,0.0026,35.923,3.867,0.0134,3.3438,0.7692
0.2,0.2,0.2,0.8,0.8,0.2,0.0048,32.9442,3.8648,0.8572,1.2066,2.9064
0.2,0.2,0.2,0.8,0.8,0.4,0.0044,34.6658,3.8652,0.1732,2.2446,1.8684
0.2,0.2,0.2,0.8,0.8,0.6,0.0042,35.4064,3.8654,0.0512,2.8634,1.2496
0.2,0.2,0.2,0.8,0.8,0.8,0.0048,35.7182,3.8648,0.0238,3.1472,0.9658
0.2,0.2,0.2,0.8,0.8,1,0.0048,35.8876,3.8648,0.0172,3.31,0.803
0.2,0.2,0.2,0.8,1,0.2,0.0052,32.8492,3.8644,0.9544,1.2084,2.9046
0.2,0.2,0.2,0.8,1,0.4,0.0052,34.6954,3.8644,0.1728,2.273,1.84
0.2,0.2,0.2,0.8,1,0.6,0.0042,35.3812,3.8654,0.0464,2.8334,1.2796
0.2,0.2,0.2,0.8,1,0.8,0.0054,35.7428,3.8642,0.0236,3.171,0.942
0.2,0.2,0.2,0.8,1,1,0.0046,35.9154,3.865,0.019,3.3398,0.7732
0.2,0.2,0.2,1,0.2,0.2,0.0052,32.9772,3.8644,0.7952,1.1772,2.9358
0.2,0.2,0.2,1,0.2,0.4,0.0052,34.6722,3.8644,0.1406,2.2176,1.8954
0.2,0.2,0.2,1,0.2,0.6,0.0062,35.3858,3.8634,0.0346,2.8242,1.2888
0.2,0.2,0.2,1,0.2,0.8,0.0044,35.6996,3.8652,0.0136,3.1188,0.9942
0.2,0.2,0.2,1,0.2,1,0.0042,35.9252,3.8654,0.008,3.339,0.774
0.2,0.2,0.2,1,0.4,0.2,0.0074,32.9088,3.8622,0.855,1.1664,2.9466
0.2,0.2,0.2,1,0.4,0.4,0.007,34.6954,3.8626,0.133,2.2314,1.8816
0.2,0.2,0.2,1,0.4,0.6,0.0056,35.3952,3.864,0.033,2.8326,1.2804
0.2,0.2,0.2,1,0.4,0.8,0.0062,35.7324,3.8634,0.0178,3.154,0.959
0.2,0.2,0.2,1,0.4,1,0.004,35.9324,3.8656,0.0092,3.3476,0.7654
0.2,0.2,0.2,1,0.6,0.2,0.0058,32.9334,3.8638,0.8656,1.2032,2.9098
0.2,0.2,0.2,1,0.6,0.4,0.0052,34.685,3.8644,0.149,2.2388,1.8742
0.2,0.2,0.2,1,0.6,0.6,0.0062,35.4,3.8634,0.0392,2.843,1.27
0.2,0.2,0.2,1,0.6,0.8,0.0028,35.6974,3.8668,0.0156,3.1202,0.9928
0.2,0.2,0.2,1,0.6,1,0.0042,35.915,3.8654,0.0128,3.3336,0.7794
0.2,0.2,0.2,1,0.8,0.2,0.0052,32.9444,3.8644,0.8594,1.2086,2.9044
0.2,0.2,0.2,1,0.8,0.4,0.0028,34.6968,3.8668,0.1442,2.2482,1.8648
0.2,0.2,0.2,1,0.8,0.6,0.0044,35.4042,3.8652,0.043,2.8528,1.2602
0.2,0.2,0.2,1,0.8,0.8,0.0048,35.7402,3.8648,0.0234,3.1688,0.9442
0.2,0.2,0.2,1,0.8,1,0.0044,35.9334,3.8652,0.0126,3.3516,0.7614
0.2,0.2,0.2,1,1,0.2,0.0056,32.974,3.864,0.8428,1.2212,2.8918
0.2,0.2,0.2,1,1,0.4,0.0044,34.656,3.8652,0.1734,2.235,1.878
0.2,0.2,0.2,1,1,0.6,0.0054,35.3774,3.8642,0.0548,2.8368,1.2762
0.2,0.2,0.2,1,1,0.8,0.0036,35.7248,3.866,0.0204,3.1516,0.9614
0.2,0.2,0.2,1,1,1,0.0046,35.9056,3.865,0.0142,3.3252,0.7878
0.2,0.2,0.4,0.2,0.2,0.2,0.0474,27.1828,3.8222,5.7606,0.306,3.807
0.2,0.2,0.4,0.2,0.2,0.4,0.016,31.1794,3.8536,2.441,1.0144,3.0986
0.2,0.2,0.4,0.2,0.2,0.6,0.0096,33.3192,3.86,0.9854,1.705,2.408
0.2,0.2,0.4,0.2,0.2,0.8,0.0082,34.3374,3.8614,0.4786,2.2178,1.8952
0.2,0.2,0.4,0.2,0.2,1,0.0064,34.9242,3.8632,0.2516,2.5794,1.5336
0.2,0.2,0.4,0.2,0.4,0.2,0.0434,27.0622,3.8262,5.8828,0.3116,3.8014
0.2,0.2,0.4,0.2,0.4,0.4,0.0172,31.1032,3.8524,2.542,1.038,3.075
0.2,0.2,0.4,0.2,0.4,0.6,0.0112,33.2804,3.8584,1.0236,1.7028,2.4102
0.2,0.2,0.4,0.2,0.4,0.8,0.0062,34.2994,3.8634,0.5104,2.2136,1.8994
0.2,0.2,0.4,0.2,0.4,1,0.0068,34.8748,3.8628,0.3018,2.5798,1.5332
0.2,0.2,0.4,0.2,0.6,0.2,0.04,27.1392,3.8296,5.8466,0.3558,3.7572
0.2,0.2,0.4,0.2,0.6,0.4,0.0256,31.0758,3.844,2.5978,1.058,3.055
0.2,0.2,0.4,0.2,0.6,0.6,0.0064,33.1836,3.8632,1.105,1.6922,2.4208
0.2,0.2,0.4,0.2,0.6,0.8,0.0078,34.28,3.8618,0.5488,2.231,1.882
0.2,0.2,0.4,0.2,0.6,1,0.009,34.895,3.8606,0.2896,2.5856,1.5274
0.2,0.2,0.4,0.2,0.8,0.2,0.0426,27.0588,3.827,5.9416,0.3678,3.7452
0.2,0.2,0.4,0.2,0.8,0.4,0.0118,30.9862,3.8578,2.6574,1.0418,3.0712
0.2,0.2,0.4,0.2,0.8,0.6,0.0104,33.0836,3.8592,1.2288,1.712,2.401
0.2,0.2,0.4,0.2,0.8,0.8,0.0092,34.2728,3.8604,0.5584,2.232,1.881
0.2,0.2,0.4,0.2,0.8,1,0.0066,34.836,3.863,0.3232,2.5626,1.5504
0.2,0.2,0.4,0.2,1,0.2,0.0368,26.9828,3.8328,6.0108,0.3668,3.7462
0.2,0.2,0.4,0.2,1,0.4,0.0272,30.9632,3.8424,2.7378,1.0838,3.0292
0.2,0.2,0.4,0.2,1,0.6,0.0092,33.1756,3.8604,1.1422,1.7186,2.3944
0.2,0.2,0.4,0.2,1,0.8,0.0074,34.2108,3.8622,0.5984,2.2118,1.9012
0.2,0.2,0.4,0.2,1,1,0.0078,34.7752,3.8618,0.373,2.5504,1.5626
0.2,0.2,0.4,0.4,0.2,0.2,0.0396,27.194,3.83,5.6966,0.261,3.852
0.2,0.2,0.4,0.4,0.2,0.4,0.0208,31.2558,3.8488,2.343,0.988,3.125
0.2,0.2,0.4,0.4,0.2,0.6,0.0102,33.4446,3.8594,0.8686,1.713,2.4
0.2,0.2,0.4,0.4,0.2,0.8,0.0088,34.4872,3.8608,0.3394,2.2278,1.8852
0.2,0.2,0.4,0.4,0.2,1,0.007,35.0078,3.8626,0.1882,2.599,1.514
0.2,0.2,0.4,0.4,0.4,0.2,0.043,27.2166,3.8266,5.7164,0.3,3.813
0.2,0.2,0.4,0.4,0.4,0.4,0.0158,31.312,3.8538,2.323,1.0292,3.0838
0.2,0.2,0.4,0.4,0.4,0.6,0.0086,33.4124,3.861,0.869,1.6828,2.4302
0.2,0.2,0.4,0.4,0.4,0.8,0.0084,34.4418,3.8612,0.3796,2.223,1.89
0.2,0.2,0.4,0.4,0.4,1,0.0072,35.007,3.8624,0.1872,2.597,1.516
0.2,0.2,0.4,0.4,0.6,0.2,0.0392,27.1808,3.8304,5.7566,0.3082,3.8048
0.2,0.2,0.4,0.4,0.6,0.4,0.0168,31.1828,3.8528,2.4348,1.0108,3.1022
0.2,0.2,0.4,0.4,0.6,0.6,0.0118,33.3782,3.8578,0.9348,1.7112,2.4018
0.2,0.2,0.4,0.4,0.6,0.8,0.0078,34.4176,3.8618,0.4352,2.255,1.858
0.2,0.2,0.4,0.4,0.6,1,0.006,35.0196,3.8636,0.1718,2.5954,1.5176
0.2,0.2,0.4,0.4,0.8,0.2,0.0474,27.2638,3.8222,5.6972,0.3236,3.7894
0.2,0.2,0.4,0.4,0.8,0.4,0.0122,31.1336,3.8574,2.4904,1.0218,3.0912
0.2,0.2,0.4,0.4,0.8,0.6,0.0088,33.388,3.8608,0.9292,1.7184,2.3946
0.2,0.2,0.4,0.4,0.8,0.8,0.0082,34.3898,3.8614,0.4274,2.219,1.894
0.2,0.2,0.4,0.4,0.8,1,0.0078,34.9654,3.8618,0.2116,2.5792,1.5338
0.2,0.2,0.4,0.4,1,0.2,0.0396,27.103,3.83,5.8406,0.314,3.799
0.2,0.2,0.4,0.4,1,0.4,0.022,31.1342,3.8476,2.4898,1.012,3.101
0.2,0.2,0.4,0.4,1,0.6,0.0104,33.3118,3.8592,0.9966,1.708,2.405
0.2,0.2,0.4,0.4,1,0.8,0.0088,34.3506,3.8608,0.4724,2.2242,1.8888
0.2,0.2,0.4,0.4,1,1,0.0078,34.9746,3.8618,0.2058,2.5826,1.5304
0.2,0.2,0.4,0.6,0.2,0.2,0.036,27.2472,3.8336,5.6376,0.2588,3.8542
0.2,0.2,0.4,0.6,0.2,0.4,0.0126,31.3662,3.857,2.2258,0.9894,3.1236
0.2,0.2,0.4,0.6,0.2,0.6,0.0092,33.4138,3.8604,0.8494,1.664,2.449
0.2,0.2,0.4,0.6,0.2,0.8,0.0088,34.5124,3.8608,0.3238,2.2374,1.8756
0.2,0.2,0.4,0.6,0.2,1,0.007,35.009,3.8626,0.1688,2.5808,1.5322
0.2,0.2,0.4,0.6,0.4,0.2,0.0386,27.2204,3.831,5.6844,0.2762,3.8368
0.2,0.2,0.4,0.6,0.4,0.4,0.0234,31.348,3.8462,2.2128,0.9474,3.1656
0.2,0.2,0.4,0.6,0.4,0.6,0.0072,33.4516,3.8624,0.8606,1.715,2.398
0.2,0.2,0.4,0.6,0.4,0.8,0.0088,34.5218,3.8608,0.293,2.216,1.897
0.2,0.2,0.4,0.6,0.4,1,0.0048,35.0408,3.8648,0.1698,2.6158,1.4972
0.2,0.2,0.4,0.6,0.6,0.2,0.0402,27.2384,3.8294,5.6666,0.2748,3.8382
0.2,0.2,0.4,0.6,0.6,0.4,0.0154,31.2902,3.8542,2.3106,0.9954,3.1176
0.2,0.2,0.4,0.6,0.6,0.6,0.0092,33.4232,3.8604,0.8856,1.7096,2.4034
0.2,0.2,0.4,0.6,0.6,0.8,0.0096,34.47,3.86,0.347,2.2174,1.8956
0.2,0.2,0.4,0.6,0.6,1,0.0092,34.9866,3.8604,0.175,2.5624,1.5506
0.2,0.2,0.4,0.6,0.8,0.2,0.0384,27.2144,3.8312,5.7184,0.3044,3.8086
0.2,0.2,0.4,0.6,0.8,0.4,0.0148,31.2774,3.8548,2.317,0.9896,3.1234
0.2,0.2,0.4,0.6,0.8,0.6,0.008,33.4036,3.8616,0.8836,1.6892,2.4238
0.2,0.2,0.4,0.6,0.8,0.8,0.008,34.4672,3.8616,0.3756,2.2448,1.8682
0.2,0.2,0.4,0.6,0.8,1,0.005,34.9626,3.8646,0.1794,2.547,1.566
0.2,0.2,0.4,0.6,1,0.2,0.0454,27.2508,3.8242,5.6822,0.2976,3.8154
0.2,0.2,0.4,0.6,1,0.4,0.0192,31.2774,3.8504,2.3526,1.0208,3.0922
0.2,0.2,0.4,0.6,1,0.6,0.0108,33.3648,3.8588,0.95,1.714,2.399
0.2,0.2,0.4,0.6,1,0.8,0.0082,34.4562,3.8614,0.3642,2.2222,1.8908
0.2,0.2,0.4,0.6,1,1,0.0096,34.9754,3.86,0.1892,2.565,1.548
0.2,0.2,0.4,0.8,0.2,0.2,0.0464,27.3392,3.8232,5.5572,0.26,3.853
0.2,0.2,0.4,0.8,0.2,0.4,0.016,31.346,3.8536,2.2296,0.9696,3.1434
0.2,0.2,0.4,0.8,0.2,0.6,0.0122,33.4756,3.8574,0.8182,1.6916,2.4214
0.2,0.2,0.4,0.8,0.2,0.8,0.0086,34.5376,3.861,0.286,2.225,1.888
0.2,0.2,0.4,0.8,0.2,1,0.0062,35.0408,3.8634,0.1556,2.6002,1.5128
0.2,0.2,0.4,0.8,0.4,0.2,0.0404,27.3024,3.8292,5.611,0.283,3.83
0.2,0.2,0.4,0.8,0.4,0.4,0.0216,31.284,3.848,2.3286,1.001,3.112
0.2,0.2,0.4,0.8,0.4,0.6,0.009,33.4486,3.8606,0.821,1.6706,2.4424
0.2,0.2,0.4,0.8,0.4,0.8,0.0096,34.482,3.86,0.3416,2.224,1.889
0.2,0.2,0.4,0.8,0.4,1,0.0066,35.0324,3.863,0.1424,2.5782,1.5348
0.2,0.2,0.4,0.8,0.6,0.2,0.035,27.2678,3.8346,5.6202,0.263,3.85
0.2,0.2,0.4,0.8,0.6,0.4,0.0088,31.165,3.8608,2.3782,0.9444,3.1686
0.2,0.2,0.4,0.8,0.6,0.6,0.0084,33.44,3.8612,0.844,1.6856,2.4274
0.2,0.2,0.4,0.8,0.6,0.8,0.0094,34.479,3.8602,0.348,2.2276,1.8854
0.2,0.2,0.4,0.8,0.6,1,0.0064,35.0132,3.8632,0.136,2.5528,1.5602
0.2,0.2,0.4,0.8,0.8,0.2,0.0398,27.2404,3.8298,5.6634,0.274,3.839
0.2,0.2,0.4,0.8,0.8,0.4,0.0262,31.3162,3.8434,2.3004,1.0004,3.1126
0.2,0.2,0.4,0.8,0.8,0.6,0.0078,33.4232,3.8618,0.871,1.6964,2.4166
0.2,0.2,0.4,0.8,0.8,0.8,0.0072,34.469,3.8624,0.3508,2.2226,1.8904
0.2,0.2,0.4,0.8,0.8,1,0.009,35.0146,3.8606,0.1656,2.5812,1.5318
0.2,0.2,0.4,0.8,1,0.2,0.0442,27.1694,3.8254,5.7556,0.2908,3.8222
0.2,0.2,0.4,0.8,1,0.4,0.0218,31.3108,3.8478,2.3154,1.0144,3.0986
0.2,0.2,0.4,0.8,1,0.6,0.0086,33.4294,3.861,0.8864,1.7172,2.3958
0.2,0.2,0.4,0.8,1,0.8,0.0066,34.5284,3.863,0.3246,2.2564,1.8566
0.2,0.2,0.4,0.8,1,1,0.0052,34.98,3.8644,0.1682,2.553,1.56
0.2,0.2,0.4,1,0.2,0.2,0.0434,27.2828,3.8262,5.607,0.2564,3.8566
0.2,0.2,0.4,1,0.2,0.4,0.023,31.445,3.8466,2.1848,1.0168,3.0962
0.2,0.2,0.4,1,0.2,0.6,0.0088,33.515,3.8608,0.7808,1.697,2.416
