k1,k2,k3,k4,k5,o1,o2,o3,o4,o5,o6,o7,o8,o9
0.2,0.2,0.8,1,0.6,10.0074,11.2172,5.6118,91.4628,109.007,29.5986,88.7129,44.0787,48.4364
0.2,0.2,0.8,1,0.8,10.6174,9.7474,6.4716,100.565,80.795,41.0762,79.9647,55.6152,49.4642
0.2,0.2,0.8,1,1,11.1804,8.5342,7.1218,109.749,66.5189,46.1766,75.2111,62.1243,47.7045
0.2,0.2,1,0.2,0.2,4.493,14.1732,8.1702,20.7101,151.902,79.7188,46.821,32.4696,90.8063
0.2,0.2,1,0.2,0.4,4.5392,11.0882,11.209,20.3081,96.4457,126.281,36.1651,41.7933,96.7865
0.2,0.2,1,0.2,0.6,4.479,9.1454,13.212,18.9918,68.8876,164.766,29.5431,46.62,93.7765
0.2,0.2,1,0.2,0.8,4.5294,7.536,14.771,20.4868,49.1385,194.518,25.4357,52.853,85.9017
0.2,0.2,1,0.2,1,4.526,6.5138,15.7966,20.1498,37.4517,220.045,21.8331,56.4291,79.1765
0.2,0.2,1,0.4,0.2,5.5794,15.3502,5.9068,30.5466,187.596,39.258,65.0785,28.7842,73.6992
0.2,0.2,1,0.4,0.4,5.9426,12.3748,8.519,33.6704,123.195,74.0937,54.675,42.146,83.9615
0.2,0.2,1,0.4,0.6,6.2128,10.2542,10.3694,37.9135,86.122,99.1024,49.4914,53.3571,81.8447
0.2,0.2,1,0.4,0.8,6.414,8.729,11.6934,39.15,65.9656,121.851,43.4013,60.0047,79.3726
0.2,0.2,1,0.4,1,6.6294,7.5684,12.6386,38.9714,51.8921,143.872,37.7294,64.9339,76.2309
0.2,0.2,1,0.6,0.2,6.2004,16.1436,4.4924,38.0102,210.611,22.3796,78.1483,23.9361,58.6772
0.2,0.2,1,0.6,0.4,6.8342,13.2508,6.7514,44.7681,144.91,44.2392,70.6913,37.8377,70.7745
