k1,k2,k3,k4,k5,k6,o1,o2,o3,o4,o5,o6,o7,o8,o9,o10,o11,o12,o13,o14,o15,o16,o17,o18,o19,o20,o21,o22,o23,o24,o25,o26,o27
0.2,0.2,0.2,0.6,0.4,1,0.2175,1847.92,209.935,0.5475,190.21,22.0075,0.215733,253283,6261.72,0.719543,7837.19,51.6766,-33.4824,3.87132,0.131247,-0.366591,0.241472,-3940.08,-39.6706,-1596.51,-413.857,17.4542,295.157,459.437,-17.6842,1.33674,11.8731
0.2,0.2,0.2,0.6,0.6,0.2,0.2675,1842.08,209.885,0.6375,184.403,27.815,0.306711,253067,6252.88,0.798089,7855.45,76.2514,-52.5772,8.24638,0.129793,-4.31345,0.733822,-4050.93,-11.6811,-1647.67,-365.126,16.8204,164.056,593.991,-22.4076,1.87513,-9.54189
0.2,0.2,0.2,0.6,0.6,0.4,0.2175,1843.76,209.935,0.57,186.062,26.155,0.230771,253260,6254.34,0.69183,7838.23,67.8556,-40.0493,7.55302,0.0762155,-2.25423,0.708058,-4025.7,-0.371278,-1558.34,-455.578,16.4306,200.077,555.937,-22.9555,1.16707,3.26598
0.2,0.2,0.2,0.6,0.6,0.6,0.2275,1844.77,209.925,0.5825,187.075,25.1425,0.241347,253493,6256.75,0.745056,7882.59,63.7766,-36.796,6.34292,0.110257,-0.267732,0.44369,-4000.2,-30.8302,-1454.9,-537.36,18.3796,230.026,524.266,-19.2217,1.7213,-16.8754
0.2,0.2,0.2,0.6,0.6,0.8,0.2,1846.19,209.952,0.645,188.593,23.625,0.185464,253351,6257.87,0.755865,7826.37,56.5558,-23.184,5.81153,0.0686717,2.12682,0.423559,-3978.48,-22.9465,-1557.87,-457.096,17.2763,262.404,489.513,-18.5561,1.63346,14.8468
0.2,0.2,0.2,0.6,0.6,1,0.2225,1848.06,209.93,0.5525,190.347,21.87,0.253628,253342,6256.94,0.593728,7837.07,53.3465,-46.4801,6.24368,0.139919,-1.28303,0.472607,-3929.21,-25.9093,-1543.42,-470.358,16.1716,290.257,465.021,-15.4055,0.889048,11.0979
0.2,0.2,0.2,0.6,0.8,0.2,0.27,1841.64,209.882,0.66,183.988,28.23,0.342957,253061,6251.06,0.931729,7837.46,72.5535,-56.5473,9.13707,0.15218,-1.55551,0.98787,-4038.18,-6.15694,-1644.37,-370.273,25.2557,177.605,577.431,-24.9967,2.17865,1.30363
0.2,0.2,0.2,0.6,0.8,0.4,0.2625,1843.37,209.89,0.675,185.735,26.4825,0.284305,253182,6247.03,0.826441,7789.79,61.4734,-26.8361,11.1843,0.145677,-2.31122,1.06601,-4000.64,2.5859,-1631.9,-402.91,16.1546,234.52,521.194,-22.9585,1.33515,30.6771
0.2,0.2,0.2,0.6,0.8,0.6,0.25,1845.3,209.903,0.7375,187.743,24.475,0.278195,252781,6253.79,0.966009,7800.65,71.0721,-41.1955,7.80388,0.100877,1.85401,0.640351,-4030.58,-11.1341,-1818.01,-208.323,17.651,190.887,561.087,-26.9023,1.16761,20.4484
0.2,0.2,0.2,0.6,0.8,0.8,0.2525,1846.62,209.9,0.61,188.935,23.2825,0.269417,253296,6252.75,0.699649,7846.66,61.5215,-48.7716,8.32857,0.113759,-0.351967,0.627738,-3959.74,5.31105,-1532.49,-485.231,17.0486,255.254,498.938,-10.0179,1.23576,2.21891
0.2,0.2,0.2,0.6,0.8,1,0.315,1848.17,209.838,0.62,190.435,21.7825,0.291504,253127,6255.15,0.782556,7819.72,52.7771,-38.0001,7.11898,0.165113,-3.8291,0.702769,-3937.07,-15.9434,-1653.02,-363.541,13.5296,289.893,467.701,-23.2503,0.81188,20.0623
0.2,0.2,0.2,0.6,1,0.2,0.2325,1841.55,209.92,0.715,183.988,28.23,0.239041,253419,6254.59,1.01632,7845.5,72.749,-36.3212,7.42466,0.164173,-2.32039,0.886241,-4050.8,-62.5346,-1535.83,-472.636,19.1375,181.691,574.211,-27.8758,1.93539,-2.81416
0.2,0.2,0.2,0.6,1,0.4,0.2375,1843.24,209.915,0.7475,185.702,26.515,0.236685,252919,6255.28,0.880946,7804.72,62.2955,-35.9613,7.08289,0.105232,-0.608365,0.483897,-3997.82,-28.6065,-1772.67,-250.9,21.0837,235.546,519.046,-26.3159,1.6241,22.8002
0.2,0.2,0.2,0.6,1,0.6,0.2575,1844.89,209.895,0.6925,187.285,24.9325,0.311974,253222,6243.05,0.764856,7812.52,65.9779,-30.8325,13.1599,0.0944173,1.81365,1.43848,-4008.03,-3.99728,-1599.15,-422.661,14.1907,214.99,536.226,-22.4309,1.41278,17.0619
