k1,k2,k3,k4,o1,o2,o3
0.03,0.055,0.05,0.03,10469.76667,0,5.766666667
0.03,0.055,0.05,0.1,10353.16667,0,6.133333333
0.03,0.055,0.05,0.3,10435.06667,0,5.466666667
0.03,0.055,0.055,0.03,10470,0,5
0.03,0.055,0.055,0.1,10592.53333,0,5.033333333
0.03,0.055,0.055,0.3,10609.06667,0,5.733333333
0.03,0.055,0.06,0.03,10618.33333,0,4.666666667
0.03,0.055,0.06,0.1,10629.93333,0,4.4
0.03,0.055,0.06,0.3,10635.06667,0,4.4
0.03,0.06,0.03,0.03,9353.9,1.233333333,10.63333333
0.03,0.06,0.03,0.1,9219.233333,0.033333333,10.46666667
0.03,0.06,0.03,0.3,9288.733333,0,9.8
0.03,0.06,0.035,0.03,9642.6,0,8.233333333
0.03,0.06,0.035,0.1,9843.566667,0,6.9
0.03,0.06,0.035,0.3,9848.1,0,7.133333333
0.03,0.06,0.04,0.03,10085.13333,0,6.666666667
0.03,0.06,0.04,0.1,10115.86667,0,5.833333333
0.03,0.06,0.04,0.3,10186.76667,0,6.066666667
0.03,0.06,0.045,0.03,10281.1,0,5.966666667
0.03,0.06,0.045,0.1,10298.46667,0,5.9
0.03,0.06,0.045,0.3,10296.2,0,5.5
0.03,0.06,0.05,0.03,10502.03333,0,4.8
0.03,0.06,0.05,0.1,10351.16667,0,5.3
0.03,0.06,0.05,0.3,10407.6,0,5.366666667
0.03,0.06,0.055,0.03,10624.7,0,4.733333333
0.03,0.06,0.055,0.1,10558.2,0,4.966666667
0.03,0.06,0.055,0.3,10594.13333,0,5.4
0.03,0.06,0.06,0.03,10693.4,0,4.233333333
0.03,0.06,0.06,0.1,10684.03333,0,5.033333333
0.03,0.06,0.06,0.3,10688.53333,0,5.766666667
0.035,0.02,0.03,0.03,737.7333333,2103.933333,257.0333333
0.035,0.02,0.03,0.1,782.8,1852.066667,389.8666667
0.035,0.02,0.03,0.3,1002.933333,1329.466667,630.9
0.035,0.02,0.035,0.03,1270.3,2164.566667,335.6
0.035,0.02,0.035,0.1,1507.9,1971,475.1
0.035,0.02,0.035,0.3,1908.366667,1423.8,726.2666667
0.035,0.02,0.04,0.03,3026.366667,1980.3,424.5
0.035,0.02,0.04,0.1,3161.966667,1778.4,495.8
0.035,0.02,0.04,0.3,3056.866667,1314.666667,755.1
0.035,0.02,0.045,0.03,4952.366667,1602.666667,381.4
0.035,0.02,0.045,0.1,4979.6,1433.3,452.9666667
0.035,0.02,0.045,0.3,5818.066667,756.1666667,474.5
0.035,0.02,0.05,0.03,8180.7,373.3333333,112.1333333
0.035,0.02,0.05,0.1,7991.966667,380.5,146.2
0.035,0.02,0.05,0.3,8527.966667,160.2,104.5333333
0.035,0.02,0.055,0.03,9295.233333,5.3,18.26666667
0.035,0.02,0.055,0.1,9260.133333,66.43333333,42.46666667
0.035,0.02,0.055,0.3,9326.933333,38.66666667,37.56666667
0.035,0.02,0.06,0.03,9768.533333,0,7.466666667
0.035,0.02,0.06,0.1,9600.1,60.53333333,36.73333333
0.035,0.02,0.06,0.3,9786.7,0,9.233333333
0.035,0.025,0.03,0.03,803.7,2069.866667,291.2
0.035,0.025,0.03,0.1,1019,1816.9,448.5
0.035,0.025,0.03,0.3,1364.1,1217.1,722.7
0.035,0.025,0.035,0.03,1915.5,2109.433333,390.7
0.035,0.025,0.035,0.1,1704.266667,1873.966667,542.5
0.035,0.025,0.035,0.3,2058,1262.6,796.4
0.035,0.025,0.04,0.03,4153.866667,1549.3,352
0.035,0.025,0.04,0.1,4027.133333,1558.666667,519.5666667
0.035,0.025,0.04,0.3,4698.566667,916.1,614.0666667
0.035,0.025,0.045,0.03,6487.833333,961.0666667,251.7666667
0.035,0.025,0.045,0.1,6293.966667,987.8,350.2333333
0.035,0.025,0.045,0.3,7658.166667,313.2333333,217.1666667
0.035,0.025,0.05,0.03,8805,226.4333333,84.3
0.035,0.025,0.05,0.1,9004.766667,131.8666667,63.4
0.035,0.025,0.05,0.3,9374.833333,0,11.1
0.035,0.025,0.055,0.03,9626.366667,0.1,10.4
0.035,0.025,0.055,0.1,9749.266667,0,8.266666667
0.035,0.025,0.055,0.3,9515.4,0.066666667,12.26666667
0.035,0.025,0.06,0.03,9968.966667,0,7.3
0.035,0.025,0.06,0.1,9973.166667,0,7.833333333
0.035,0.025,0.06,0.3,9980.966667,0,8.266666667
0.035,0.03,0.03,0.03,1128.266667,2117.866667,331.2666667
0.035,0.03,0.03,0.1,1193.9,1784.5,527.1333333
0.035,0.03,0.03,0.3,1716.2,1078.833333,780.5666667
0.035,0.03,0.035,0.03,1956.933333,2131.5,435.8333333
0.035,0.03,0.035,0.1,2612.633333,1776.333333,563.4333333
0.035,0.03,0.035,0.3,3922.166667,957.7666667,693.4333333
0.035,0.03,0.04,0.03,4908.833333,1456.666667,361.1666667
0.035,0.03,0.04,0.1,5804.233333,922.5333333,375.5333333
0.035,0.03,0.04,0.3,7015.233333,399.8,319.3666667
0.035,0.03,0.045,0.03,8077.066667,325.8333333,99.5
0.035,0.03,0.045,0.1,8516.333333,152.2333333,76.96666667
0.035,0.03,0.045,0.3,9006.933333,4.233333333,19.26666667
0.035,0.03,0.05,0.03,9583.9,0,9.466666667
0.035,0.03,0.05,0.1,9679.033333,0,8.8
0.035,0.03,0.05,0.3,9510.933333,0,9.8
0.035,0.03,0.055,0.03,9741.466667,0,8.933333333
