k1,k2,k3,o1,o2
0.045,0.055,0.050166667,9539.2,0.066666667
0.045,0.055,0.055166667,9983.966667,0
0.045,0.055166667,0.059,9854.433333,41.8
0.045,0.06,0.030166667,3035.266667,1048.1
0.045,0.06,0.035166667,6715.2,355.0666667
0.045,0.06,0.040166667,8883.266667,56.2
0.045,0.06,0.045166667,9293.766667,47.03333333
0.045,0.06,0.050166667,9856.966667,0
0.045,0.06,0.055166667,10024.2,0
0.045166667,0.058666667,0.059,9887.1,38.23333333
0.05,0.02,0.030166667,253.0666667,1340.466667
0.05,0.02,0.035166667,505.5,1617.366667
0.05,0.02,0.040166667,770.1,1721.833333
0.05,0.02,0.045166667,1246.866667,1869.866667
0.05,0.02,0.050166667,1729.8,1877.9
0.05,0.02,0.055166667,2974.066667,1786.733333
0.05,0.020166667,0.059,3957.133333,1581.266667
0.05,0.025,0.030166667,350.5,1421.9
0.05,0.025,0.035166667,657.7,1590.2
0.05,0.025,0.040166667,1021.333333,1670.833333
0.05,0.025,0.045166667,1525.533333,1741.333333
0.05,0.025,0.050166667,2704.333333,1707.333333
0.05,0.025,0.055166667,4413.4,1367.3
0.05,0.025166667,0.059,6645.1,654.4333333
0.05,0.03,0.030166667,317.3333333,1212.966667
0.05,0.03,0.035166667,738.7333333,1461.866667
0.05,0.03,0.040166667,1102.8,1612.433333
0.05,0.03,0.045166667,2358.666667,1755.966667
0.05,0.03,0.050166667,4579.466667,1180.366667
0.05,0.03,0.055166667,6813.766667,574.2
0.05,0.030166667,0.059,7464.266667,489
0.05,0.035,0.030166667,610.0333333,1258.866667
0.05,0.035,0.035166667,1008.9,1495.5
0.05,0.035,0.040166667,1853.933333,1530.4
0.05,0.035,0.045166667,3830.833333,1218.933333
0.05,0.035,0.050166667,6903.533333,448.3666667
0.05,0.035,0.055166667,8251.666667,223.8
0.05,0.035166667,0.059,8801.5,37.1
0.05,0.04,0.030166667,665.5,1221.2
0.05,0.04,0.035166667,1198.433333,1379.4
0.05,0.04,0.040166667,2296.233333,1467.533333
0.05,0.04,0.045166667,5102.933333,841.0666667
0.05,0.04,0.050166667,6361.033333,698.6
0.05,0.04,0.055166667,8702.466667,114.1
