k1,k2,o1
0.05346,0.28,995.4
0.05346,0.3,998.6
0.05346,0.32,977.2
0.05346,0.34,997.6
0.05346,0.36,999.6
0.05346,0.38,975.0
0.00396,0.74,909.0
0.05346,0.4,979.2
0.05346,0.42,977.0
0.05346,0.44,980.2
0.05346,0.46,984.6
0.05346,0.48,990.6
0.05346,0.5,987.6
0.05346,0.52,987.6
0.05346,0.54,990.8
0.05346,0.56,1006.8
0.05346,0.58,980.2
0.00396,0.76,906.0
0.05346,0.6,987.8
0.05346,0.62,996.2
0.05346,0.64,1003.0
0.05346,0.66,983.8
0.05346,0.68,989.4
0.05346,0.7000000000000001,991.2
0.05346,0.72,965.2
0.05346,0.74,974.2
0.05346,0.76,989.6
0.05346,0.78,979.8
0.00396,0.78,904.8
0.05346,0.8,975.6
0.05346,0.8200000000000001,979.8
0.05346,0.84,973.4
0.05346,0.86,983.2
0.05346,0.88,991.4
0.05346,0.9,991.6
0.05346,0.92,992.4
0.05346,0.9400000000000001,987.4
0.05346,0.96,967.8
0.05346,0.98,991.2
0.0,0.28,0.0
0.00396,0.8,909.4
0.05544,0.0,993.0
0.05544,0.02,1000.2
0.05544,0.04,996.8
0.05544,0.06,991.4
0.05544,0.08,988.0
0.05544,0.1,996.2
0.05544,0.12,999.2
0.05544,0.14,1002.0
0.05544,0.16,988.8
0.05544,0.18,970.8
0.00396,0.8200000000000001,899.4
0.05544,0.2,986.2
0.05544,0.22,983.8
0.05544,0.24,992.8
0.05544,0.26,975.6
0.05544,0.28,999.2
0.05544,0.3,991.6
0.05544,0.32,1002.6
0.05544,0.34,987.4
0.05544,0.36,988.6
0.05544,0.38,995.0
0.00396,0.84,902.8
0.05544,0.4,989.6
0.05544,0.42,1003.8
0.05544,0.44,978.4
0.05544,0.46,996.0
0.05544,0.48,1007.4
0.05544,0.5,977.8
0.05544,0.52,990.6
0.05544,0.54,979.4
0.05544,0.56,998.4
0.05544,0.58,995.2
0.00396,0.86,900.4
0.05544,0.6,981.2
0.05544,0.62,988.0
0.05544,0.64,996.8
0.05544,0.66,988.6
0.05544,0.68,994.4
0.05544,0.7000000000000001,1000.0
0.05544,0.72,990.4
0.05544,0.74,1004.4
0.05544,0.76,979.6
0.05544,0.78,980.6
0.00396,0.88,906.8
0.05544,0.8,987.4
0.05544,0.8200000000000001,986.4
0.05544,0.84,981.0
0.05544,0.86,977.2
0.05544,0.88,991.6
0.05544,0.9,983.0
0.05544,0.92,997.4
0.05544,0.9400000000000001,978.4
0.05544,0.96,989.4
0.05544,0.98,983.6
0.00396,0.9,901.4
0.05742,0.0,978.2
0.05742,0.02,984.8
0.05742,0.04,984.8
0.05742,0.06,983.0
0.05742,0.08,973.6
0.05742,0.1,1001.0
0.05742,0.12,978.2
0.05742,0.14,1001.4
0.05742,0.16,981.0
0.05742,0.18,995.8
0.00396,0.92,891.0
0.05742,0.2,979.0
0.05742,0.22,997.4
0.05742,0.24,984.4
0.05742,0.26,993.2
0.05742,0.28,987.2
0.05742,0.3,986.6
0.05742,0.32,998.6
0.05742,0.34,996.8
0.05742,0.36,996.4
0.05742,0.38,987.0
0.00396,0.9400000000000001,883.6
0.05742,0.4,1003.0
0.05742,0.42,987.2
0.05742,0.44,991.6
0.05742,0.46,997.4
0.05742,0.48,1001.2
0.05742,0.5,1004.6
0.05742,0.52,1000.8
0.05742,0.54,983.4
0.05742,0.56,998.0
0.05742,0.58,989.6
0.00396,0.96,925.8
0.05742,0.6,990.4
0.05742,0.62,973.6
0.05742,0.64,996.6
0.05742,0.66,1006.0
0.05742,0.68,981.8
0.05742,0.7000000000000001,1005.2
0.05742,0.72,975.2
0.05742,0.74,1000.2
0.05742,0.76,996.0
0.05742,0.78,986.6
0.00396,0.98,894.8
0.05742,0.8,985.8
0.05742,0.8200000000000001,983.2
0.05742,0.84,973.2
0.05742,0.86,1000.2
0.05742,0.88,995.0
0.05742,0.9,992.2
0.05742,0.92,979.2
0.05742,0.9400000000000001,999.0
0.05742,0.96,969.6
0.05742,0.98,984.4
0.0,0.3,0.0
0.00594,0.0,927.0
0.0594,0.0,989.8
0.0594,0.02,978.8
0.0594,0.04,980.6
0.0594,0.06,1001.0
0.0594,0.08,992.6
0.0594,0.1,993.4
0.0594,0.12,1003.8
0.0594,0.14,998.2
0.0594,0.16,981.2
0.0594,0.18,998.4
0.00594,0.02,940.8
0.0594,0.2,976.8
0.0594,0.22,976.2
0.0594,0.24,981.4
0.0594,0.26,982.0
0.0594,0.28,982.6
0.0594,0.3,1012.4
0.0594,0.32,986.6
0.0594,0.34,979.0
0.0594,0.36,971.0
0.0594,0.38,989.0
0.00594,0.04,931.6
0.0594,0.4,987.8
0.0594,0.42,989.4
0.0594,0.44,984.8
0.0594,0.46,1003.0
0.0594,0.48,986.2
0.0594,0.5,992.6
0.0594,0.52,987.8
0.0594,0.54,994.0
0.0594,0.56,976.0
0.0594,0.58,1012.6
0.00594,0.06,939.0
0.0594,0.6,991.4
0.0594,0.62,1008.8
0.0594,0.64,992.8
0.0594,0.66,984.4
