kt,k1,k2,k3,k4,k5,o1,o2,o3,o4,o5,o6,o7,o8,o9
0.5,0.326612,0.141493,0.191942,0.0599649,0.162735,6.4416,9.7152,10.6796,46.2986,110.469,259.757,17.2186,13.3764,57.4044
0.5,0.155697,0.11264,0.829638,0.789182,0.393036,7.7374,10.0418,9.0572,54.2713,98.7302,157.161,32.1926,62.1667,46.8218
0.5,0.149979,0.0845887,0.117995,0.0750208,0.437389,6.4768,7.8248,12.5348,49.1453,83.9877,308.901,10.9623,16.6069,47.676
0.5,0.510338,0.743285,0.132113,0.979559,0.506343,12.8664,6.8418,7.1282,120.251,55.5291,95.7401,49.1823,72.7071,38.6128
0.5,0.058014,0.182477,0.373165,0.607614,0.758795,8.9122,6.826,11.0982,66.4238,59.0319,205.645,22.5998,70.3617,37.7502
0.5,0.651838,0.0300073,0.275446,0.381497,0.974646,7.3588,8.925,10.5526,50.2809,82.249,177.347,22.9413,37.5224,80.86
0.5,0.164707,0.931917,0.912969,0.32531,0.296916,8.3238,7.9252,10.5874,50.375,62.7342,232.696,38.8668,47.0306,37.4622
0.5,0.462675,0.549774,0.266924,0.127195,0.611645,8.042,7.6266,11.1678,54.1519,61.3999,228.434,27.1495,32.5393,64.5804
0.5,0.282888,0.121561,0.931862,0.287606,0.948566,5.5986,8.5548,12.683,30.0827,66.6031,250.439,20.6154,36.216,65.8684
0.5,0.958569,0.533657,0.0737256,0.131711,0.551378,8.8148,9.063,8.9586,64.2774,90.1935,148.921,32.6846,30.0976,81.7842
0.5,0.514286,0.63649,0.373071,0.0829353,0.47542,7.8666,8.2236,10.7462,51.7948,68.4169,224.324,30.5303,27.2608,66.203
0.5,0.19191,0.551536,0.802429,0.338011,0.853375,7.4956,7.0838,12.257,43.5575,50.108,239.753,28.1795,50.5409,50.8326
0.5,0.712138,0.569877,0.0351881,0.692834,0.400228,11.5044,8.124,7.208,96.5645,77.012,102.381,47.9594,57.7588,52.5651
0.5,0.162619,0.384479,0.757319,0.155999,0.682998,6.2366,7.68,12.9198,34.6564,60.2384,293.718,22.7505,28.4463,50.7589
0.5,0.793556,0.599424,0.268925,0.272918,0.762824,8.993,8.2136,9.6298,61.9845,69.5115,159.597,35.7086,42.9182,72.0887
0.5,0.846517,0.428082,0.893069,0.0198464,0.920267,5.5576,9.8752,11.4036,29.7126,85.5299,205.21,24.5643,18.0102,93.4615
0.5,0.510739,0.465573,0.370617,0.746969,0.691638,10.2226,7.986,8.6278,79.4521,65.8454,127.396,42.562,65.0037,52.3495
0.5,0.788795,0.630292,0.161899,0.556111,0.222747,10.74,9.118,6.9784,85.4579,88.0093,105.221,50.7794,50.7349,55.4034
0.5,0.943405,0.972485,0.84728,0.980074,0.340675,11.0456,10.0604,5.7304,88.0187,91.1754,66.9823,70.3201,52.6718,50.1819
0.5,0.733097,0.979756,0.546577,0.326007,0.85955,9.5772,7.46,9.7992,65.2715,53.3771,162.027,40.1563,51.8463,63.9216
0.5,0.894835,0.727733,0.779731,0.179028,0.659889,7.6542,9.7866,9.3956,45.4977,87.0233,151.199,40.2152,34.1768,80.0102
0.5,0.29004,0.904456,0.945108,0.619444,0.581132,9.2998,7.8998,9.6368,63.2614,57.1584,166.772,42.574,63.5928,46.4995
0.5,0.94076,0.784151,0.407851,0.896805,0.343234,11.6258,9.3074,5.9032,97.9866,85.454,71.8902,64.3729,53.6297,50.5941
0.5,0.268417,0.204023,0.984987,0.988378,0.158844,8.101,11.6372,7.0982,61.0426,124.044,108.835,44.7704,58.1411,46.3897
0.5,0.847162,0.250321,0.647327,0.324648,0.818072,6.8642,10.2472,9.725,39.5717,96.2793,150.643,32.9806,33.9867,86.048
0.5,0.310633,0.909767,0.588083,0.0352315,0.244398,7.8596,7.875,11.1018,51.8971,61.2936,268.11,34.3309,23.0543,48.2264
0.5,0.755697,0.839,0.687287,0.417734,0.20959,9.324,10.0326,7.4798,62.4255,93.2278,118.663,53.8884,43.0408,62.1746
0.5,0.940493,0.726458,0.495216,0.467048,0.0867009,9.7138,10.7648,6.3578,67.3318,111.489,96.5679,57.8,39.136,61.6319
0.5,0.809843,0.424476,0.150025,0.333988,0.246807,9.1218,10.0048,7.7098,64.8167,106.84,128.615,41.3315,36.8267,67.9684
0.5,0.463358,0.102152,0.455388,0.51059,0.543445,7.6272,9.7028,9.5064,51.4613,94.9731,163.514,29.7332,48.2186,63.336
0.5,0.273238,0.430244,0.734026,0.628582,0.560344,8.5524,8.606,9.678,56.5782,71.8055,167.92,37.2337,59.616,51.2604
0.5,0.0929306,0.304608,0.882265,0.984022,0.692038,9.1078,8.424,9.3046,70.8932,68.8428,144.155,36.4826,74.8535,42.9802
0.5,0.429866,0.65284,0.26258,0.582821,0.964418,10.5246,6.2598,10.052,80.4451,43.1489,163.982,35.2708,68.147,49.0561
0.5,0.663654,0.820538,0.157008,0.17066,0.0570951,9.824,8.7926,8.2198,72.5179,83.5315,163.456,43.2455,33.3452,59.9188
0.5,0.075028,0.639719,0.558706,0.0237206,0.652846,6.7306,6.2102,13.8956,42.3569,45.5475,351.608,23.0624,18.838,34.6055
0.5,0.373964,0.798133,0.785336,0.891227,0.345556,10.375,8.8754,7.586,81.3823,72.4088,113.994,52.6595,65.8124,43.8976
0.5,0.112737,0.307299,0.179616,0.0942105,0.718506,7.1774,6.2048,13.4542,51.0797,50.815,319.867,16.1593,26.2353,42.9866
0.5,0.795901,0.685498,0.627023,0.988303,0.635205,10.8522,9.0972,6.887,88.2952,77.3036,83.9434,58.4859,60.303,52.7021
0.5,0.662238,0.634556,0.82274,0.205987,0.263917,7.3554,10.6226,8.8584,42.0707,101.814,165.21,40.452,29.6989,71.5637
0.5,0.190158,0.842772,0.444753,0.427316,0.121037,9.8752,7.589,9.3722,70.2641,64.2749,203.79,40.6278,53.968,32.5015
0.5,0.712039,0.34495,0.307315,0.109966,0.0188585,7.2796,11.4226,8.1342,48.4195,128.276,167.549,32.3709,18.9577,72.8108
