kt,k1,k2,k3,k4,k5,o1,o2,o3,o4,o5,o6,o7,o8,o9
1,0.2,0.2,0.8,0.4,1,6.736,6.648,11.574,29.3731,32.8057,114.481,20.6864,40.6408,41.4469
1,0.2,0.2,0.8,0.6,0.2,7.238,11.206,6.514,33.7569,97.5306,46.9277,38.3677,29.0538,34.5753
1,0.2,0.2,0.8,0.6,0.4,7.632,9.818,7.508,37.0467,72.8265,55.549,35.6884,33.1292,39.5756
1,0.2,0.2,0.8,0.6,0.6,7.656,8.848,8.454,36.4466,54.5981,69.05,31.7993,36.9561,42.3016
1,0.2,0.2,0.8,0.6,0.8,7.718,7.924,9.316,38.4834,46.0904,73.6595,29.8402,40.2476,41.8998
1,0.2,0.2,0.8,0.6,1,8.04,6.952,9.966,39.5655,35.8855,83.2954,27.7494,43.1737,40.808
1,0.2,0.2,0.8,0.8,0.2,8.106,11.51,5.342,43.9747,100.743,33.2796,43.9258,27.611,30.5687
1,0.2,0.2,0.8,0.8,0.4,8.236,10.224,6.498,45.844,78.611,41.9419,38.4059,33.4895,36.0105
1,0.2,0.2,0.8,0.8,0.6,8.36,9.144,7.454,44.3591,67.1576,49.9518,36.908,35.702,37.7601
1,0.2,0.2,0.8,0.8,0.8,8.624,8.04,8.294,50.4355,48.1868,58.1799,33.5922,41.7821,37.3289
1,0.2,0.2,0.8,0.8,1,8.876,7.354,8.728,54.5137,37.5077,60.7435,33.5911,46.1085,35.0223
1,0.2,0.2,0.8,1,0.2,8.526,11.902,4.53,49.2558,103.844,25.1554,46.2881,26.1034,29.5851
1,0.2,0.2,0.8,1,0.4,8.972,10.402,5.584,54.905,80.4493,29.4418,46.8129,30.6777,31.2157
1,0.2,0.2,0.8,1,0.6,9.206,9.258,6.494,53.9635,63.258,38.9919,41.7443,35.361,35.8923
1,0.2,0.2,0.8,1,0.8,9.39,8.438,7.13,54.7875,53.6815,46.3017,38.8709,38.5744,36.2736
